Identifier,Polymer EntityData,,,
Entry ID,Asym ID,Sequence Cluster  ID,Sequence Cluster Identity Threshold,
"7AZW","A",11228,100
,"B",14513,95
,,13231,90
,,11909,70
,,11309,50
,,5094,30
"7AYV","A",4993,100
,,4418,95
,,4436,90
,,4107,70
,,1225,50
,,1139,30
"7AZ8","A",539,100
,"B",628,95
,,667,90
,,748,70
,,681,50
,,556,30
,"C"
,"D"
"7AZ6","A",539,100
,,628,95
,,667,90
,,748,70
,,681,50
,,556,30
,"B"
"7AYR","A",2183,100
,"B",2707,95
,,2803,90
,,2754,70
,,1768,50
,,1820,30
"7AYS","A",5,100
,,10,95
,,12,90
,,14,70
,,32,50
,,4,30
"7AYQ","A",2183,100
,"B",2707,95
,,2803,90
,,2754,70
,,1768,50
,,1820,30
"7AYX","A",52380,100
,"B",53646,95
,,49674,90
,,56130,70
,,30489,50
,,81,30
"7AYY","A",4430,100
,"B",1287,95
,"C",1339,90
,"D",1230,70
,"E",1220,50
,,1231,30
"2TNF","A",18186,100
,"B",21562,95
,"C",17175,90
,,10302,70
,,8845,50
,,1020,30
"7AZE","A",539,100
,"B",628,95
,,667,90
,,748,70
,,681,50
,,556,30
,"C"
,"D"
"7AZF","A",539,100
,"B",628,95
,"C",667,90
,"D",748,70
,,681,50
,,556,30
,"E"
,"F"
,"G"
,"H"
"7AZC","A",539,100
,"B",628,95
,"C",667,90
,"D",748,70
,,681,50
,,556,30
,"E"
,"F"
,"G"
,"H"
"7AZN","A",108341,100
,,36747,95
,,41582,90
,,25444,70
,,18753,50
,,19644,30
"7AZK","A",539,100
,"C",628,95
,"E",667,90
,"G",748,70
,,681,50
,,556,30
,"B"
,"D"
,"F"
,"H"
"7AZL","A",539,100
,"B",628,95
,"C",667,90
,"D",748,70
,,681,50
,,556,30
,"E"
,"F"
,"G"
,"H"
"7AY6","A",2055,100
,"B",595,95
,,633,90
,,308,70
,,320,50
,,146,30
"7B9U","A",267,100
,,310,95
,,325,90
,,346,70
,,350,50
,,368,30
"7B9W","A",2476,100
,"B",2734,95
,,2814,90
,,2779,70
,,2697,50
,,2240,30
"7AY9","A",303,100
,"B",187,95
,,192,90
,,152,70
,,177,50
,,86,30
"2TMD","A",11008,100
,"B",10373,95
,,11313,90
,,10871,70
,,9170,50
,,5370,30
"7AYB","A",15999,100
,,14775,95
,,12004,90
,,12949,70
,,11453,50
,,11066,30
"2TMK","A",17516,100
,"B",18822,95
,,20184,90
,,17365,70
,,11262,50
,,4187,30
"7AYA","A",303,100
,"B",187,95
,,192,90
,,152,70
,,177,50
,,86,30
"7AYN","A",52005,100
,"B",690,95
,"C",740,90
,"D",830,70
,,833,50
,,677,30
"7AWT","A",10125,100
,,11033,95
,,11109,90
,,9215,70
,,9064,50
,,8626,30
,"B",10126,100
,,11034,95
,,11110,90
,,9216,70
,,9065,50
,,8627,30
,"C",10127,100
,,11035,95
,,11111,90
,,9217,70
,,9066,50
,,2139,30
,"D",10128,100
,,11036,95
,,11112,90
,,9218,70
,,9067,50
,,8628,30
,"E",10129,100
,,11037,95
,,11113,90
,,9219,70
,,9068,50
,,8629,30
,"F",10130,100
,,11038,95
,,11114,90
,,9220,70
,,9069,50
,,2125,30
"7B8U","A",267,100
,,310,95
,,325,90
,,346,70
,,350,50
,,368,30
"7B93","C",5422,100
,,6509,95
,,5949,90
,,1257,70
,,1264,50
,,1262,30
,"D",5423,100
,,475,95
,,499,90
,,532,70
,,448,50
,,489,30
,"E",5424,100
,,6510,95
,,1140,90
,,1233,70
,,1205,50
,,1232,30
,"F",5425,100
,,458,95
,,482,90
,,421,70
,,407,50
,,429,30
,"G",5426,100
,,6511,95
,,501,90
,,540,70
,,419,50
,,443,30
,"H",5427,100
,,6512,95
,,5950,90
,,497,70
,,503,50
,,452,30
,"I",5428,100
,,6513,95
,,5951,90
,,1258,70
,,878,50
,,905,30
,"J",6382,100
,,6514,95
,,5952,90
,,5589,70
,,510,50
,,537,30
,"K",5429,100
,,6515,95
,,5953,90
,,5590,70
,,505,50
,,526,30
,"M",5431,100
,,6517,95
,,5955,90
,,498,70
,,504,50
,,354,30
,"N",5432,100
,,6518,95
,,5956,90
,,5592,70
,,506,50
,,527,30
,"Q",5435,100
,,6521,95
,,5959,90
,,1239,70
,,1244,50
,,1278,30
,"S",5506,100
,,6244,95
,,6405,90
,,783,70
,,761,50
,,787,30
,"T",5507,100
,"U",6245,95
,,6406,90
,,1180,70
,,737,50
,,742,30
,"V",5508,100
,,6246,95
,,6407,90
,,522,70
,,516,50
,,545,30
,"W",5509,100
,,6247,95
,,683,90
,,775,70
,,776,50
,,782,30
,"Y",5071,100
,,6249,95
,,6409,90
,,6203,70
,,517,50
,,546,30
,"Z",5072,100
,,6250,95
,,6410,90
,,571,70
,,531,50
,,555,30
,"AA",5073,100
,,6251,95
,,6411,90
,,499,70
,,507,50
,,528,30
,"BA",5074,100
,,6252,95
,,6412,90
,,545,70
,,497,50
,,530,30
,"CA",5075,100
,,6253,95
,,6413,90
,,1195,70
,,1168,50
,,1207,30
,"DA",5076,100
,,6254,95
,,6414,90
,,510,70
,,508,50
,,541,30
,"EA",5077,100
,,6255,95
,,6415,90
,,511,70
,,509,50
,,542,30
,"FA",5078,100
,,6256,95
,,6416,90
,,523,70
,,519,50
,,549,30
,"HA",5080,100
,,6258,95
,,6418,90
,,1232,70
,,1202,50
,,1238,30
,"IA",5081,100
,,6259,95
,,6419,90
,,550,70
,,542,50
,,570,30
,"JA",5082,100
,,6260,95
,,6420,90
,,1265,70
,,1261,50
,,1292,30
,"LA",5084,100
,,6262,95
,,6422,90
,,1277,70
,,1230,50
,,1266,30
,"PA",5088,100
,,6266,95
,,6426,90
,,541,70
,,536,50
,,561,30
,"QA",4997,100
,,5973,95
,,525,90
,,524,70
,,525,50
,,502,30
,"RA",5089,100
,,6267,95
,,4159,90
,,549,70
,,546,50
,,571,30
,"SA",5090,100
,,6268,95
,,6427,90
,,6204,70
,,1313,50
,,1344,30
,"A",5420,100
,,6507,95
,,5947,90
,,5588,70
,,502,50
,,525,30
,"L",5430,100
,,6516,95
,,5954,90
,,5591,70
,,511,50
,,371,30
,"O",5433,100
,,6519,95
,,5957,90
,,507,70
,,515,50
,,538,30
,"P",5434,100
,,6520,95
,,5958,90
,,599,70
,,595,50
,,612,30
,"R",5505,100
,,6243,95
,,6404,90
,,1259,70
,,1265,50
,,1263,30
,"B",5421,100
,,6508,95
,,5948,90
,,1238,70
,,888,50
,,926,30
,"X",5510,100
,,6248,95
,,6408,90
,,538,70
,,496,50
,,529,30
,"GA",5079,100
,,6257,95
,,6417,90
,,1231,70
,,1209,50
,,1254,30
,"KA",5083,100
,,6261,95
,,6421,90
,,827,70
,,819,50
,,842,30
,"MA",5085,100
,,6263,95
,,6423,90
,,518,70
,,521,50
,,550,30
,"NA",5086,100
,,6264,95
,,6424,90
,,509,70
,,498,50
,,531,30
,"OA",5087,100
,,6265,95
,,6425,90
,,645,70
,,638,50
,,665,30
"7B94","A",9329,100
,"B",8009,95
,,9216,90
,,647,70
,,644,50
,,321,30
"7B8N","A",267,100
,,310,95
,,325,90
,,346,70
,,350,50
,,368,30
"7B8O","A",267,100
,,310,95
,,325,90
,,346,70
,,350,50
,,368,30
"7AX0","A",17709,100
,,21879,95
,,14567,90
,,8355,70
,,8073,50
,,7270,30
"7B8Z","A",267,100
,,310,95
,,325,90
,,346,70
,,350,50
,,368,30
"7AX9","A",729,100
,,830,95
,,876,90
,,1089,70
,,1094,50
,,1110,30
"7B8X","A",267,100
,,310,95
,,325,90
,,346,70
,,350,50
,,368,30
"7B99","A",267,100
,,310,95
,,325,90
,,346,70
,,350,50
,,368,30
"7AWY","A",47744,100
,,44705,95
,,14567,90
,,8355,70
,,8073,50
,,7270,30
"7B8Y","A",267,100
,,310,95
,,325,90
,,346,70
,,350,50
,,368,30
"7AX7","A",49881,100
,,66519,95
,,53662,90
,,62730,70
,,46962,50
,,8075,30
"7AWV","A",91555,100
,"B",56066,95
,,53973,90
,,55244,70
,,47237,50
,,40824,30
"7AX8","A",729,100
,,830,95
,,876,90
,,1089,70
,,1094,50
,,1110,30
"7B8W","A",7003,100
,"B",6545,95
,"C",6024,90
,"D",5573,70
,,4001,50
,,4177,30
"7B98","A",267,100
,,310,95
,,325,90
,,346,70
,,350,50
,,368,30
"7AXE","A",729,100
,,830,95
,,876,90
,,1089,70
,,1094,50
,,1110,30
"7AXC","A",729,100
,,830,95
,,876,90
,,1089,70
,,1094,50
,,1110,30
"7B9D","A",267,100
,,310,95
,,325,90
,,346,70
