pdb,dataset,n_pockets_true,n_pockets_pred,matched
2A5F_AB_,test,1,1,0
5ODT_AB_,test,1,0,0
1IQP_ACBEDF_,test,4,3,3
2HJ3_AB_,test,2,2,0
1NW3_A_,test,1,0,0
6UEK_A_,test,1,1,0
6AN9_A_,test,1,0,0
4FZB_ACBD_,test,4,2,0
3QPV_AB_,test,2,2,1
3GWN_AB_,test,2,2,0
1RLZ_ACBD_,test,0,0,0
4XHG_A_,test,1,2,0
7F3P_A_,test,0,2,0
2AWN_AB_,test,2,2,0
1MJ9_A_,test,1,2,0
2W4Q_A_,test,1,3,0
7WX3_A_,test,1,0,0
3A1D_AB_,test,2,0,0
4ZRB_AHED_,test,2,2,0
3K87_A_,test,1,0,0
6ACX_A_,test,1,2,0
6DJV_AE_,test,0,2,0
6KY6_A_,test,1,0,0
4PKH_AB_,test,1,2,0
3H0L_ACB_,test,1,1,0
4BBJ_A_,test,1,0,0
7VKR_A_,test,1,2,0
2WDS_ACB_,test,3,0,0
1NBI_ACBD_,test,4,3,2
1TY8_AB_,test,2,3,0
7E3X_A_,test,1,2,1
7NY1_A_,test,1,2,1
6BDD_A_,test,1,3,0
1N71_AB_,test,2,0,0
1LUA_ACB_,test,3,2,0
6Z1E_A_,test,1,0,0
5KVS_AB_,test,2,2,0
3B6J_ACBD_,test,4,2,0
6HR8_AB_,test,2,2,0
5KWA_A_,test,2,2,0
2YDX_BF_,test,2,2,2
5KKZ_ACBEGF_,test,4,2,2
1SUW_ACBD_,test,4,4,2
4BUB_A_,test,1,2,0
1YOA_AB_,test,2,1,0
4I3Z_AB_,test,1,1,0
1DM1_A_,test,1,4,0
1VLJ_AB_,test,2,2,0
5ERG_ACBD_,test,2,3,0
4B8N_A_,test,1,2,0
5TEG_AD_,test,1,1,0
2WET_AD_,test,2,2,2
4R1F_AB_,test,2,2,2
5LKU_A_,test,1,2,0
1L2O_ACB_,test,1,2,0
4U99_A_,test,1,2,1
5CZY_A_,test,1,2,0
2YWL_AB_,test,2,2,2
4USJ_AC_,test,1,4,0
2G72_A_,test,1,2,1
1O2D_A_,test,1,2,0
1XX6_AB_,test,2,3,0
3O6X_A_,test,1,2,0
5HFJ_AB_,test,2,0,0
3SN5_A_,test,1,2,1
3T58_A_,test,1,2,1
7US5_A_,test,2,2,1
6G30_A_,test,1,2,0
1NW5_A_,test,1,2,0
3H8L_AB_,test,2,2,0
2YIU_ACBEDF_,test,2,4,2
2ZI4_AB_,test,2,2,0
7LTR_AB_,test,1,2,1
3U9E_AB_,test,4,2,1
6BKZ_AB_,test,2,3,0
4NE2_AC_,test,2,2,0
3WR7_A_,test,1,2,0
4ZQM_A_,test,2,3,0
6F74_A_,test,1,3,0
5ERR_AB_,test,2,0,0
5WC2_A_,test,1,1,0
6MP5_A_,test,1,3,1
3KVO_A_,test,2,2,0
4YBR_A_,test,1,2,0
7KQT_A_,test,1,2,0
3L86_A_,test,1,3,0
3AV6_A_,test,1,2,0
4PCL_AC_,test,2,0,0
5YWD_B_,test,2,6,0
1XNJ_AB_,test,1,3,0
3SMS_AB_,test,2,2,2
1NFB_A_,test,2,2,0
3EEY_AC_,test,2,0,0
2O28_AB_,test,2,0,0
6TEK_A_,test,1,0,0
6BME_A_,test,1,2,0
5LIH_AC_,test,1,2,0
1H17_AB_,test,2,1,0
5HTX_A_,test,1,1,0
7D3E_AB_,test,3,4,2
4J9U_AE_,test,1,2,0
7F8B_A_,test,1,2,0
7M7A_A_,test,1,2,0
3TKA_AB_,test,2,2,2
3W4I_AB_,test,2,2,2
3BXZ_AB_,test,2,0,0
3FWR_AB_,test,2,0,0
3H8T_ACBD_,test,4,2,0
4H1G_A_,test,1,2,0
3VQR_AB_,test,2,2,2
3BWC_AB_,test,2,3,0
2Q2R_AB_,test,2,2,0
7RLU_A_,test,1,2,1
2QF7_A_,test,1,2,0
3S61_A_,test,1,2,0
3Q9O_A_,test,1,2,0
7K0A_A_,test,1,3,0
2QEN_A_,test,1,2,1
6JIL_A_,test,0,1,0
1OWB_A_,test,2,2,0
4AVE_A_,test,1,2,0
6MT9_A_,test,1,3,0
5L3K_ACBD_,test,4,2,2
2GLU_A_,test,1,0,0
4ZQB_A_,test,1,2,0
4S1H_AB_,test,2,2,2
7D9H_A_,test,2,2,2
4FFO_A_,test,1,2,0
6V4C_A_,test,1,2,0
5A9F_A_,test,1,2,0
5A3C_A_,test,1,1,0
2CG5_AB_,test,1,1,0
3GPC_A_,test,1,2,0
2BRA_A_,test,1,2,1
5O8I_AB_,test,1,0,0
4UCK_A_,test,1,0,0
4YLR_A_,test,1,2,0
2R7N_A_,test,2,0,0
6D3K_A_,test,1,1,0
2R87_ACB_,test,3,3,3
5FSX_A_,test,1,0,0
7NYB_A_,test,1,0,0
1I1D_AD_,test,1,0,0
3R24_AB_,test,1,0,0
4IYN_AB_,test,2,3,2
5XWW_AB_,test,2,2,2
6J94_A_,test,1,4,1
5GI8_A_,test,1,2,0
2V7L_A_,test,1,2,1
3VX3_A_,test,2,0,0
3QVH_AB_,test,2,2,0
6M0A_A_,test,2,0,0
1EBF_AB_,test,1,2,0
5FUK_AB_,test,2,2,2
3IA8_A_,test,1,2,0
1XA4_AB_,test,1,3,0
1FFT_ACBD_,test,0,2,0
3FY4_A_,test,1,2,1
4J8F_AB_,test,2,2,0
4YMI_AB_,test,2,2,1
3IQX_AB_,test,2,2,1
4MZU_ACBEDF_,test,6,2,0
1XJK_AB_,test,2,2,2
1XD9_AB_,test,2,0,0
7LJF_A_,test,0,2,0
3MB5_ACBD_,test,4,2,0
3SYT_A_,test,2,0,0
5DQW_AB_,test,2,0,0
3GDN_A_,test,0,2,0
1GSA_ACBD_,test,4,2,1
2IGT_ACB_,test,3,2,0
5J7I_ACBD_,test,3,2,0
1WG8_A_,test,1,2,0
7KW9_A_,test,1,0,0
7JH4_A_,test,1,0,0
1DW2_A_,test,1,2,0
4HKA_A_,test,2,2,0
3O0H_A_,test,2,3,0
1KHR_ACB_,test,3,3,0
1K3D_A_,test,1,2,1
5WGV_A_,test,1,2,1
1NHG_ACBD_,test,2,2,2
3PVZ_AB_,test,2,2,2
1F20_A_,test,2,1,0
5TTK_A_,test,1,2,0
6U60_A_,test,0,0,0
2QB5_A_,test,1,3,1
5YA2_AC_,test,1,1,0
5XXS_A_,test,1,0,0
