pdb,true_pocket,pred_pocket,dataset,recall,precision,ligandIdx_true,true_pts_ligandIdx_pred,pred_pts_ligandIdx_pred,npoints_true,npoints_pred
5UME_AD_,1,0,test,1.0,0.52046783625731,2,2,3,267,513
3R9G_A_,0,0,test,0.868995633187773,0.38269230769230766,1,2,2,229,520
5MOG_ACBED_,0,0,test,0.6114457831325302,0.42379958246346555,2,2,3,332,479
5UHW_AB_,0,0,test,0.7108433734939759,0.4338235294117647,4,4,0,249,408
5H5F_A_,0,0,test,1.0,0.532258064516129,6,0,3,198,372
4IFX_A_,0,0,test,0.988,0.5092783505154639,2,0,6,250,485
1DLY_A_,0,0,test,0.9734848484848485,0.611904761904762,3,3,3,264,420
2RCH_A_,0,0,test,1.0,0.5573122529644269,3,3,3,282,506
4OBW_AB_,0,0,test,0.9744897959183674,0.4961038961038961,6,6,6,196,385
4OBW_AB_,0,1,test,1.0,0.5628930817610063,6,6,6,179,318
3FYH_A_,0,0,test,0.6822429906542056,0.3427230046948357,0,0,0,107,213
2R46_A_,0,0,test,0.9903536977491961,0.5133333333333333,2,2,2,311,600
3P3I_AB_,0,0,test,0.8023255813953488,0.372972972972973,1,3,0,86,185
2FK8_A_,0,0,test,1.0,0.3890020366598778,6,6,6,191,491
1CIV_AB_,1,0,test,0.8423236514522822,0.6041666666666666,5,2,2,241,336
1CIV_AB_,0,1,test,0.9205020920502092,0.6214689265536724,5,2,2,239,354
4PL1_B_,0,0,test,1.0,0.2762237762237762,6,6,2,158,572
1H84_AB_,1,0,test,0.9801136363636364,0.8353510895883777,2,2,2,352,413
1H84_AB_,0,1,test,1.0,0.8062953995157385,2,2,2,333,413
1Z6T_A_,0,0,test,1.0,0.3389121338912134,0,0,6,162,478
4AM7_A_,0,0,test,0.7647058823529411,0.4090909090909091,0,0,0,153,286
5YB6_AC_,0,0,test,0.9742857142857143,0.7893518518518519,2,2,2,350,432
4UAJ_A_,0,0,test,0.717391304347826,0.336734693877551,2,2,2,230,490
2O6P_A_,0,0,test,0.9835164835164835,0.7850877192982456,3,2,3,182,228
4QTU_AB_,0,0,test,0.9484536082474226,0.4423076923076923,6,6,2,194,416
5BU2_A_,1,0,test,1.0,0.2672413793103448,0,2,1,124,464
5VHD_D_,0,0,test,1.0,0.49074074074074076,0,0,0,159,324
4D86_A_,1,0,test,1.0,0.4781491002570694,0,0,0,186,389
4X8Y_AC_,0,0,test,0.9554140127388535,0.45180722891566266,3,3,3,157,332
2I5B_AB_,0,0,test,0.7093023255813954,0.2772727272727273,0,0,2,172,440
2ADM_A_,0,0,test,0.5705521472392638,0.6413793103448275,6,6,4,163,145
4E03_A_,0,0,test,1.0,0.42662116040955633,0,0,0,125,293
1H1O_A_,1,0,test,0.9075342465753424,0.48623853211009177,3,3,3,292,545
4O27_ACB_,0,0,test,1.0,0.39263803680981596,0,0,0,128,326
5HH1_AB_,0,0,test,0.9315068493150684,0.4646924829157175,1,1,1,219,439
3B47_AB_,1,0,test,0.7578947368421053,0.582995951417004,3,3,3,190,247
2QEN_A_,0,0,test,1.0,0.42777777777777776,0,0,0,154,360
2Z4S_A_,0,0,test,1.0,0.4110787172011662,0,0,0,141,343
5GLG_A_,0,0,test,1.0,0.6814345991561181,2,2,2,323,474
2CTS_AB_,0,0,test,0.8247863247863247,0.5302197802197802,1,0,0,234,364
3IHG_A_,0,0,test,0.7601626016260162,0.3101160862354892,2,2,2,246,603
3VMM_A_,0,0,test,0.6144578313253012,0.20773930753564154,0,0,0,166,491
2YUT_AB_,0,0,test,0.9679715302491103,0.7816091954022989,5,5,5,281,348
2YUT_AB_,0,1,test,0.9965397923875432,0.6329670329670329,5,5,5,289,455
3FZG_A_,0,0,test,0.9883040935672515,0.569023569023569,6,6,6,171,297
5GT9_AB_,0,0,test,1.0,0.4375,5,5,5,224,512
5KVA_AB_,1,0,test,0.6685393258426966,0.363914373088685,6,6,0,178,327
4NXU_A_,0,0,test,0.9647887323943662,0.3293269230769231,0,0,0,142,416
3G15_AB_,0,0,test,0.9862068965517241,0.5238095238095238,0,0,0,145,273
2FJE_ACBD_,0,0,test,0.7522388059701492,0.39436619718309857,2,2,2,335,639
5IFS_ACBD_,0,0,test,0.9640287769784173,0.6090909090909091,0,0,0,139,220
3E2N_A_,0,0,test,1.0,0.5245614035087719,3,3,3,299,570
4CDP_A_,0,0,test,0.9468085106382979,0.3655030800821355,3,3,2,188,487
3VO2_A_,0,0,test,0.8428571428571429,0.45038167938931295,2,2,2,210,393
5W8A_A_,0,0,test,0.9367088607594937,0.3135593220338983,6,2,2,158,472
3RP7_A_,0,0,test,0.6875,0.3785425101214575,2,2,2,272,494
3EEY_AC_,1,0,test,0.9802955665024631,0.7107142857142857,6,6,6,203,280
3EEY_AC_,0,1,test,0.8888888888888888,0.8,6,6,6,198,220
3E2R_AB_,1,0,test,0.9925373134328358,0.5833333333333334,2,2,2,268,456
3E2R_AB_,0,1,test,1.0,0.5708245243128964,2,2,2,270,473
5U25_AB_,0,0,test,0.9285714285714286,0.5684410646387833,2,2,2,322,526
5U25_AB_,0,1,test,0.9744408945686901,0.3793532338308458,2,2,2,313,804
4DCM_A_,0,0,test,0.7931034482758621,0.6764705882352942,6,6,6,174,204
2HMY_B_,0,0,test,0.9821428571428571,0.5205047318611987,6,6,6,168,317
5KPC_AB_,1,0,test,0.8142857142857143,0.2835820895522388,6,0,6,140,402
6CR0_A_,0,0,test,1.0,0.6989473684210527,2,2,2,332,475
1IN5_A_,0,0,test,1.0,0.5423728813559322,0,0,0,160,295
1K3D_A_,0,0,test,0.8089171974522293,0.3167082294264339,0,0,0,157,401
3HZL_A_,0,0,test,0.9935897435897436,0.48589341692789967,2,2,2,312,638
3TFG_A_,0,0,test,1.0,0.8328611898016998,3,3,3,294,353
3U9Z_AC_,0,0,test,1.0,0.33403805496828753,0,0,0,158,473
2C54_AB_,0,0,test,0.768,0.3386243386243386,4,2,2,250,567
2C54_AB_,0,1,test,0.680161943319838,0.5045045045045045,4,2,2,247,333
2YDX_BF_,1,0,test,0.9384615384615385,0.6437994722955145,5,5,5,260,379
2YDX_BF_,0,1,test,0.8438661710037175,0.5230414746543779,5,5,5,269,434
