pdb,dataset,n_pockets_true,n_pockets_pred,matched
2W54_AB_,train,1,0,0
5CE3_AB_,train,1,1,0
4X7G_A_,train,1,1,1
2O4C_AB_,train,2,0,0
3PVZ_AB_,train,2,1,1
4RLR_A_,train,1,1,1
3GR4_ACBD_,train,1,0,0
4DZY_AB_,train,2,1,0
2ZIF_AB_,train,2,1,0
2XJA_A_,train,1,1,1
5ZBA_ACBD_,train,1,1,1
2QJO_ACBEDF_,train,6,0,0
3OWC_A_,train,1,1,1
3SC6_A_,train,1,1,1
1TU9_A_,train,1,1,1
4J31_A_,train,1,1,1
3B70_A_,train,1,1,1
4CRM_PX_,train,1,1,0
5L6E_AB_,train,1,2,0
2R87_ACB_,train,3,2,1
4REP_A_,train,1,1,1
5DMZ_A_,train,1,1,1
5T6Q_A_,train,1,1,1
2HQY_AB_,train,1,1,0
4ZRB_AHED_,train,2,0,0
5LKU_A_,train,1,1,1
1HI5_A_,train,1,1,1
4PKH_AB_,train,1,1,1
4GI5_AB_,train,2,1,1
2ZW9_A_,train,1,1,1
4P7A_AB_,train,2,2,1
3LMH_A_,train,1,1,1
4BBJ_A_,train,1,1,0
2OBM_A_,train,1,1,0
4W7L_A_,train,1,1,0
2RIR_ACBD_,train,4,0,0
5LBX_AB_,train,2,1,1
1X87_AB_,train,2,1,0
4H4Q_AB_,train,2,1,1
4IWX_ACBD_,train,4,0,0
2VE4_A_,train,1,1,1
5KF9_AB_,train,2,1,0
5KKZ_ACBEGF_,train,4,2,2
1ZTH_A_,train,1,1,1
3LB3_AB_,train,2,2,2
1VJT_AB_,train,2,2,0
1U5U_A_,train,1,1,1
3JSA_AB_,train,2,1,0
4TS7_AB_,train,2,1,1
1KJQ_AB_,train,2,0,0
3NAG_ACBD_,train,2,1,0
5HE9_AE_,train,1,1,1
4B8N_A_,train,1,1,1
1R0Y_A_,train,1,1,1
2E1M_ACBEDF_,train,2,2,1
2FG9_ACBEDF_,train,6,2,0
2TDT_ACB_,train,3,0,0
5C3C_ACBEDF_,train,6,0,0
4XE8_A_,train,1,1,1
3DP5_A_,train,0,1,0
1E7R_AB_,train,2,1,0
3EHH_AB_,train,2,1,0
4F84_ACBEDF_,train,6,0,0
1JG4_A_,train,1,1,1
5NNO_AB_,train,2,0,0
3NN0_AX_,train,2,1,0
3W4Y_AC_,train,2,1,1
2V3A_A_,train,1,1,1
3GYJ_A_,train,1,1,1
3R03_AB_,train,1,2,1
3HYO_A_,train,1,1,1
3GDN_A_,train,1,1,0
4IB1_AS_,train,1,1,1
5G5G_ACB_,train,1,3,1
1ASH_A_,train,1,1,1
4YMP_A_,train,1,1,1
1NBI_ACBD_,train,4,0,0
4HNH_A_,train,1,1,1
5L9W_AC_,train,0,1,0
6C7Y_AB_,train,1,1,1
4EXA_AB_,train,2,2,0
2ECK_A_,train,1,1,1
1RQP_ACBEDF_,train,6,0,0
5MY2_AB_,train,0,1,0
1W5S_A_,train,1,1,1
5HTX_A_,train,1,1,1
3RTL_A_,train,1,1,1
5B7I_ACB_,train,1,1,1
1Z9N_AB_,train,1,1,1
3H0L_ACB_,train,1,1,0
3AKL_AB_,train,0,1,0
1XDI_ACBD_,train,4,0,0
1I1D_AD_,train,1,2,1
1P3U_A_,train,1,1,1
4IY0_AB_,train,2,1,0
5CUO_AB_,train,2,1,1
3GWN_AB_,train,2,1,1
5UAO_AC_,train,1,1,0
1QAX_AB_,train,1,1,1
3DME_AB_,train,2,2,2
3IIL_A_,train,1,1,0
5JGL_A_,train,1,1,1
6CUK_A_,train,0,1,0
4G7R_ACB_,train,1,1,1
5KTC_A_,train,1,1,1
3S1C_A_,train,1,1,1
4JLV_A_,train,1,0,0
3BTS_ABEF_,train,2,1,1
5EZ7_A_,train,1,1,1
4NHE_AB_,train,2,1,0
5EIN_ACBEDF_,train,4,4,4
2DVM_AB_,train,2,2,2
5HR5_A_,train,1,1,0
4GT8_A_,train,1,1,1
1O2D_A_,train,1,1,1
3FH0_AB_,train,2,1,1
4WW9_AB_,train,1,2,1
2DPM_A_,train,1,1,1
2CNQ_A_,train,2,1,1
6FUU_AB_,train,2,1,1
4YHB_A_,train,1,1,1
5XV0_AB_,train,2,1,1
4ZE2_A_,train,1,1,1
3OZX_A_,train,2,0,0
4R3L_AB_,train,1,1,1
4RVO_AB_,train,2,1,1
1O51_ACB_,train,3,0,0
5IV0_ACBEDF_,train,6,0,0
5L8J_AB_,train,1,1,1
3T37_AB_,train,2,1,1
3LLM_AB_,train,2,1,0
3DMH_A_,train,1,1,1
4YC4_A_,train,1,1,0
2B0Q_A_,train,1,1,1
5KL9_ACBD_,train,2,0,0
4R1F_AB_,train,2,2,2
5GI8_A_,train,1,1,1
3KA7_A_,train,1,1,1
4FWF_AE_,train,1,1,1
1CMC_AB_,train,2,3,1
