pdb,dataset,n_pockets_true,n_pockets_pred,matched
5UME_AD_,test,2,2,0
3R9G_A_,test,1,4,0
5MOG_ACBED_,test,5,2,2
4NMN_ACBEDF_,test,6,2,0
3UBM_AB_,test,2,2,0
2J18_A_,test,0,2,0
5UHW_AB_,test,2,2,0
5H5F_A_,test,1,2,0
4IFX_A_,test,1,2,0
1DLY_A_,test,1,3,0
2H7C_ACBEDF_,test,6,2,0
2RCH_A_,test,1,3,0
4OBW_AB_,test,2,2,1
3LVV_A_,test,1,0,0
3FYH_A_,test,1,0,0
2R46_A_,test,1,2,1
3P3I_AB_,test,1,2,1
2FK8_A_,test,1,2,0
4IIU_ACBD_,test,4,4,4
4NL0_A_,test,1,4,0
1CIV_AB_,test,2,2,2
4PL1_B_,test,1,3,1
1H84_AB_,test,2,2,2
1Z6T_A_,test,1,2,1
4AM7_A_,test,1,2,0
2VTK_AB_,test,2,1,0
5YB6_AC_,test,2,2,2
1I0S_AB_,test,1,2,0
4UAJ_A_,test,1,2,0
2O6P_A_,test,1,0,0
4QTU_AB_,test,1,2,0
5MUV_ABIKJL_,test,6,2,0
5BU2_A_,test,2,0,0
5YK4_AB_,test,2,3,0
5J7I_ACBD_,test,3,2,1
5VHD_D_,test,1,2,1
4RKZ_A_,test,1,2,0
4D86_A_,test,2,2,2
5LB3_B_,test,1,0,0
4X8Y_AC_,test,2,0,0
6FQY_AB_,test,2,2,0
2I5B_AB_,test,2,3,1
1Y4S_AB_,test,2,2,1
2ADM_A_,test,1,2,0
5K8U_A_,test,1,0,0
4E03_A_,test,1,1,0
5T3O_ACBEDF_,test,6,2,0
1H1O_A_,test,2,2,2
4O27_ACB_,test,1,2,0
5HH1_AB_,test,2,2,2
3B47_AB_,test,2,2,0
2QV7_A_,test,1,2,0
2QEN_A_,test,1,3,0
2Z4S_A_,test,1,2,1
5GLG_A_,test,1,2,0
2QMM_AB_,test,2,2,2
2CTS_AB_,test,2,2,1
3IHG_A_,test,1,3,1
3VMM_A_,test,1,2,0
2YUT_AB_,test,2,2,2
4EH1_AB_,test,2,1,0
2Q14_ACBD_,test,4,2,1
4E47_A_,test,1,2,0
3FZG_A_,test,1,2,0
5GT9_AB_,test,2,2,2
5KVA_AB_,test,2,0,0
3HMQ_AB_,test,2,2,0
4NXU_A_,test,1,0,0
3G15_AB_,test,2,2,0
2FJE_ACBD_,test,2,2,2
1O9X_A_,test,1,2,1
5IFS_ACBD_,test,2,3,1
3E2N_A_,test,1,3,0
4CDP_A_,test,1,0,0
5IJZ_AGHKJL_,test,4,2,1
1KQN_ACBEDF_,test,6,6,6
4NTC_AB_,test,2,4,2
3VO2_A_,test,1,3,0
5E72_A_,test,1,3,0
5W8A_A_,test,1,2,1
3RP7_A_,test,1,2,1
3M0O_A_,test,1,1,0
3EEY_AC_,test,2,1,0
2YP1_AC_,test,2,2,2
3E2R_AB_,test,2,0,0
5U25_AB_,test,2,2,2
4DCM_A_,test,1,1,0
2HMY_B_,test,1,3,0
5KPC_AB_,test,2,2,2
3JBK_ABM_,test,2,2,0
6CR0_A_,test,1,2,0
1IN5_A_,test,1,2,1
3OZV_A_,test,2,2,0
1K3D_A_,test,1,2,1
3HZL_A_,test,1,2,1
6BD9_AB_,test,2,2,2
3TFG_A_,test,1,2,1
3U9Z_AC_,test,1,2,0
1U1I_ACBD_,test,4,3,2
2C54_AB_,test,2,2,2
2YDX_BF_,test,2,2,2
6ARB_ACB_,test,3,3,3
2OI6_ACD_,test,3,3,3
5T5T_ACB_,test,1,2,0
1JR8_AB_,test,2,2,0
1QV6_AB_,test,2,2,2
4FRY_AB_,test,2,2,0
3A1D_AB_,test,2,2,0
6FCX_AB_,test,2,2,0
5FSX_A_,test,1,3,0
1XNJ_AB_,test,1,3,0
3PFG_AB_,test,2,2,2
1MBT_A_,test,1,2,0
2CDA_ACBD_,test,4,3,0
5NKV_AB_,test,2,2,2
2NOX_ACBD_,test,4,2,2
3VOT_A_,test,1,2,0
5ERG_ACBD_,test,2,4,0
4EFH_AB_,test,1,3,0
5K8C_AB_,test,2,0,0
4R29_A_,test,1,0,0
4NWZ_AB_,test,2,2,2
1EVZ_AB_,test,2,4,2
2PDR_A_,test,1,2,0
5TUM_A_,test,1,2,0
3NE7_A_,test,1,2,1
1G99_AB_,test,2,2,0
3MBC_A_,test,1,0,0
3EYW_AB_,test,2,3,0
4IHJ_ACBEDF_,test,1,2,1
1W2D_A_,test,1,2,0
3KS0_AKJ_,test,1,3,0
2BM9_ACBEDF_,test,6,1,0
3Q9N_AC_,test,1,2,0
3Q87_AB_,test,1,2,0
2H3W_A_,test,1,3,1
6BKZ_AB_,test,2,2,0
1WLV_ACBD_,test,2,2,1
6BXN_AB_,test,2,3,1
1QRR_AB_,test,2,2,0
2VVM_AB_,test,2,2,2
2YIU_ACBEDF_,test,2,4,2
2YQZ_A_,test,1,3,0
1GKI_ABEDGF_,test,6,2,0
3UJ7_A_,test,1,2,1
5FHF_A_,test,1,2,0
4GYI_A_,test,1,2,0
3PZC_AB_,test,1,2,1
3DH0_A_,test,1,2,0
4BLV_A_,test,1,1,0
2BRA_A_,test,1,2,0
1WPQ_AB_,test,2,2,2
5O96_AB_,test,2,3,0
5ND2_ACB_,test,1,1,0
4PCL_AC_,test,2,1,0
2PR1_AB_,test,2,2,2
3VIU_A_,test,1,2,0
1SOX_AB_,test,2,2,2
3G2O_AB_,test,2,2,0
1MWM_A_,test,1,2,0
5MBX_A_,test,1,2,1
3DBG_A_,test,1,2,0
1WG8_A_,test,1,0,0
2BFR_A_,test,1,2,1
3RES_ACBEDF_,test,4,2,0
6FJH_AB_,test,2,2,2
1GR0_ACBD_,test,4,2,0
1SG6_A_,test,1,2,0
4ZGP_A_,test,1,0,0
6FSA_AD_,test,1,2,1
2H7Q_A_,test,0,2,0
4UII_AB_,test,2,2,0
1YOA_AB_,test,2,2,0
2OWM_AC_,test,2,2,0
1GLF_YXZO_,test,4,4,2
3EWK_A_,test,1,2,0
1RLZ_ACBD_,test,0,2,0
1TIQ_A_,test,2,2,0
4K38_AD_,test,0,2,0
2UVQ_ACBD_,test,4,2,0
4ZNL_A_,test,1,2,0
2A2C_A_,test,1,2,0
4AG5_AD_,test,1,2,0
2IXB_AB_,test,2,2,0
5ICW_AB_,test,2,2,2
2GAH_ACBD_,test,2,2,1
2A8X_AB_,test,2,2,2
3WFJ_AE_,test,2,1,0
4YLR_A_,test,1,1,0
5U0M_AB_,test,2,2,2
2XOC_A_,test,1,0,0
3QPV_AB_,test,2,2,1
1SK7_A_,test,1,3,0
3NT1_AB_,test,2,4,1
2G72_A_,test,1,4,0
5KVS_AB_,test,2,2,2
