pdb,cluster,chains
7B2P,4596,ABCD
7B2P,6604,ABCD
7B2P,4597,ABCD
7B2P,2,ABCD
7B2M,6604,BDAC
7B2M,2,BDAC
7B2M,4596,BDAC
7B2M,4597,BDAC
1X9F,505,ABCD
1X9F,505,ABCD
1X9F,505,ABCD
1X9F,505,ABCD
2R0L,1,ABCD
2R0L,1,ABCD
2R0L,4,ABCD
2R0L,9499,ABCD
5GON,11,ABEF
5GON,11,ABEF
5GON,230,ABEF
5GON,249,ABEF
7KEX,1,ABCD
7KEX,1,ABCD
7KEX,1452,ABCD
7KEX,6541,ABCD
7KEW,1452,ABCD
7KEW,1,ABCD
7KEW,1,ABCD
7KEW,1655,ABCD
7KF9,1,ABCD
7KF9,1452,ABCD
7KF9,6541,ABCD
7KF9,1,ABCD
7K3B,74,ABGH
7K3B,1872,ABGH
7K3B,1,ABGH
7K3B,1,ABGH
3ZTJ,74,ABGH
3ZTJ,78,ABGH
3ZTJ,1,ABGH
3ZTJ,1,ABGH
7KFB,1452,ABCD
7KFB,1,ABCD
7KFB,1,ABCD
7KFB,6541,ABCD
4R4H,345,ABCD
4R4H,843,ABCD
4R4H,1,ABCD
4R4H,1,ABCD
7KFH,1452,ABCD
7KFH,1,ABCD
7KFH,6541,ABCD
7KFH,1,ABCD
7KFE,1,BAEF
7KFE,1,BAEF
7KFE,1452,BAEF
7KFE,1655,BAEF
7B2Q,4596,ABCD
7B2Q,6604,ABCD
7B2Q,4597,ABCD
7B2Q,2,ABCD
5J3H,43381,ABCD
5J3H,2,ABCD
5J3H,2,ABCD
5J3H,4267,ABCD
4C2I,704,ABGH
4C2I,1027,ABGH
4C2I,1,ABGH
4C2I,1,ABGH
6CRQ,269,ABCD
6CRQ,283,ABCD
6CRQ,1,ABCD
6CRQ,1,ABCD
7K3A,74,ABGH
7K3A,1872,ABGH
7K3A,1,ABGH
7K3A,1,ABGH
4BKS,492,ABCD
4BKS,516,ABCD
4BKS,791,ABCD
4BKS,492,ABCD
2PO6,6,BCAD
2PO6,63,BCAD
2PO6,322,BCAD
