pdb,dataset,recall,precision,ligandIdx_true,true_pts_ligandIdx_pred,pred_pts_ligandIdx_pred,npoints_true,npoints_pred
5MOG_ACBED_,test,0.9663608562691132,0.15119617224880383,2,2,3,327,2090
5MOG_ACBED_,test,0.8554216867469879,0.2809099901088032,2,2,3,332,1011
4OBW_AB_,test,0.7932960893854749,0.6926829268292682,6,6,6,179,205
2R46_A_,test,0.8006430868167203,0.6974789915966386,2,2,2,311,357
3P3I_AB_,test,0.8372093023255814,0.288,1,3,0,86,250
4IIU_ACBD_,test,0.8149606299212598,0.6550632911392406,5,5,5,254,316
4IIU_ACBD_,test,0.876984126984127,0.572538860103627,5,5,5,252,386
4IIU_ACBD_,test,0.833976833976834,0.6486486486486487,5,5,5,259,333
4IIU_ACBD_,test,0.8346774193548387,0.8346774193548387,5,5,5,248,248
1CIV_AB_,test,0.9128630705394191,0.7051282051282052,5,2,2,241,312
1CIV_AB_,test,0.895397489539749,0.722972972972973,5,2,2,239,296
4PL1_B_,test,0.5506329113924051,0.6304347826086957,6,6,6,158,138
1H84_AB_,test,1.0,0.9336870026525199,2,2,2,352,377
1H84_AB_,test,1.0,0.9073569482288828,2,2,2,333,367
1Z6T_A_,test,0.9753086419753086,0.5015873015873016,0,0,0,162,315
5YB6_AC_,test,0.9714285714285714,0.6319702602230484,2,2,2,350,538
5YB6_AC_,test,0.990909090909091,0.6349514563106796,2,2,2,330,515
5J7I_ACBD_,test,0.5652173913043478,0.11428571428571428,0,4,2,92,455
5VHD_D_,test,0.5471698113207547,0.8365384615384616,0,0,0,159,104
4D86_A_,test,0.7142857142857143,0.5747126436781609,0,2,2,140,174
4D86_A_,test,0.6505376344086021,0.5817307692307693,0,0,0,186,208
2I5B_AB_,test,0.8255813953488372,0.7802197802197802,0,0,0,172,182
1Y4S_AB_,test,0.7203389830508474,0.3601694915254237,0,0,0,118,236
1H1O_A_,test,0.9014598540145985,0.9250936329588015,3,3,3,274,267
1H1O_A_,test,0.9006849315068494,0.9006849315068494,3,3,3,292,292
5HH1_AB_,test,0.821917808219178,0.6,1,1,1,219,300
5HH1_AB_,test,0.7929515418502202,0.6,1,1,1,227,300
2Z4S_A_,test,0.5177304964539007,0.6033057851239669,0,0,0,141,121
2QMM_AB_,test,0.888,0.578125,6,6,6,125,192
2QMM_AB_,test,0.9264705882352942,0.802547770700637,6,6,6,136,157
2CTS_AB_,test,0.5147679324894515,0.5281385281385281,1,5,0,237,231
3IHG_A_,test,0.5284552845528455,0.4180064308681672,2,2,2,246,311
2YUT_AB_,test,0.9572953736654805,0.5912087912087912,5,5,5,281,455
2YUT_AB_,test,0.9515570934256056,0.5851063829787234,5,5,5,289,470
2Q14_ACBD_,test,0.7218045112781954,0.20210526315789473,0,2,0,133,475
5GT9_AB_,test,0.7053571428571429,0.5787545787545788,5,5,5,224,273
5GT9_AB_,test,0.9146341463414634,0.7550335570469798,5,5,5,246,298
2FJE_ACBD_,test,0.6902654867256637,0.49471458773784355,2,2,2,339,473
2FJE_ACBD_,test,0.8417910447761194,0.4973544973544973,2,2,2,335,567
