pdb,dataset,n_pockets_true,n_pockets_pred,matched
5UME_AD_,test,2,1,1
3R9G_A_,test,1,1,1
5MOG_ACBED_,test,5,1,1
4NMN_ACBEDF_,test,6,0,0
3UBM_AB_,test,2,1,0
2J18_A_,test,1,1,0
1PBY_ACB_,test,0,1,0
5UHW_AB_,test,2,1,1
5H5F_A_,test,1,1,1
4IFX_A_,test,1,1,1
1DLY_A_,test,1,1,1
2H7C_ACBEDF_,test,6,0,0
2RCH_A_,test,1,1,1
4OBW_AB_,test,2,2,2
3LVV_A_,test,1,1,0
3FYH_A_,test,1,1,1
2R46_A_,test,1,1,1
3P3I_AB_,test,1,2,1
2FK8_A_,test,1,1,1
4IIU_ACBD_,test,4,0,0
4NL0_A_,test,1,1,0
1CIV_AB_,test,2,2,2
4O1W_AD_,test,0,1,0
4PL1_B_,test,1,1,1
1H84_AB_,test,2,2,2
1Z6T_A_,test,1,1,1
4AM7_A_,test,1,1,1
2VTK_AB_,test,2,0,0
5YB6_AC_,test,2,1,1
1I0S_AB_,test,1,0,0
4UAJ_A_,test,1,1,1
2O6P_A_,test,1,1,1
4QTU_AB_,test,1,1,1
5MUV_ABIKJL_,test,6,0,0
5BU2_A_,test,2,1,1
2YQB_ACB_,test,0,0,0
5YK4_AB_,test,2,0,0
5J7I_ACBD_,test,3,1,0
5VHD_D_,test,1,1,1
4RKZ_A_,test,1,1,0
4D86_A_,test,2,1,1
5LB3_B_,test,1,1,0
4X8Y_AC_,test,2,1,1
6FQY_AB_,test,2,1,0
2I5B_AB_,test,2,1,1
1Y4S_AB_,test,2,0,0
4V2K_AB_,test,0,1,0
2ADM_A_,test,1,1,1
5K8U_A_,test,1,1,0
4E03_A_,test,1,1,1
5T3O_ACBEDF_,test,6,0,0
1H1O_A_,test,2,1,1
4O27_ACB_,test,1,1,1
5HH1_AB_,test,2,2,1
3B47_AB_,test,2,1,1
2QV7_A_,test,1,1,0
2QEN_A_,test,1,1,1
2Z4S_A_,test,1,1,1
5GLG_A_,test,1,1,1
2QMM_AB_,test,2,1,0
2CTS_AB_,test,2,1,1
3IHG_A_,test,1,1,1
3VMM_A_,test,1,1,1
2YUT_AB_,test,2,2,2
4EH1_AB_,test,2,1,0
2Q14_ACBD_,test,4,0,0
4E47_A_,test,1,1,0
3FZG_A_,test,1,1,1
5GT9_AB_,test,2,1,1
5KVA_AB_,test,2,1,1
3HMQ_AB_,test,2,0,0
4NXU_A_,test,1,1,1
3G15_AB_,test,2,1,1
2FJE_ACBD_,test,2,2,1
1O9X_A_,test,1,0,0
5IFS_ACBD_,test,2,1,1
1DVH_A_,test,0,1,0
3E2N_A_,test,1,1,1
4CDP_A_,test,1,1,1
5IJZ_AGHKJL_,test,4,0,0
1KQN_ACBEDF_,test,6,0,0
4NTC_AB_,test,2,0,0
3VO2_A_,test,1,1,1
5E72_A_,test,1,1,0
5W8A_A_,test,1,1,1
3RP7_A_,test,1,1,1
3M0O_A_,test,1,1,1
3EEY_AC_,test,2,2,2
2YP1_AC_,test,2,2,0
3E2R_AB_,test,2,2,2
5U25_AB_,test,2,2,2
4DCM_A_,test,1,1,1
2HMY_B_,test,1,1,1
5KPC_AB_,test,2,1,1
3JBK_ABM_,test,2,1,0
6CR0_A_,test,1,1,1
1IN5_A_,test,1,1,1
1K3D_A_,test,1,1,1
3HZL_A_,test,1,1,1
3TFG_A_,test,1,1,1
3U9Z_AC_,test,1,1,1
2C54_AB_,test,2,2,2
2YDX_BF_,test,2,2,2
6ARB_ACB_,test,3,0,0
2OI6_ACD_,test,3,0,0
5T5T_ACB_,test,1,1,1
1QV6_AB_,test,2,1,1
4FRY_AB_,test,2,1,1
3A1D_AB_,test,2,1,1
5FSX_A_,test,1,1,1
1XNJ_AB_,test,1,2,0
3PFG_AB_,test,2,1,1
1MBT_A_,test,1,1,1
2CDA_ACBD_,test,4,0,0
5NKV_AB_,test,2,2,2
2NOX_ACBD_,test,4,1,1
3VOT_A_,test,1,2,0
5ERG_ACBD_,test,2,0,0
4EFH_AB_,test,1,1,1
5K8C_AB_,test,2,1,1
4R29_A_,test,1,1,1
4NWZ_AB_,test,2,1,1
1EVZ_AB_,test,2,1,0
2PDR_A_,test,1,1,1
5TUM_A_,test,1,1,1
3NE7_A_,test,1,1,1
1G99_AB_,test,2,1,0
3MBC_A_,test,1,1,0
3EYW_AB_,test,2,1,0
4IHJ_ACBEDF_,test,1,1,0
1W2D_A_,test,1,1,1
3KS0_AKJ_,test,1,0,0
2BM9_ACBEDF_,test,6,1,0
3Q9N_AC_,test,1,1,1
3Q87_AB_,test,1,1,1
2H3W_A_,test,1,1,1
6BKZ_AB_,test,2,0,0
1WLV_ACBD_,test,2,1,0
6BXN_AB_,test,2,1,1
1QRR_AB_,test,2,2,2
2VVM_AB_,test,2,2,2
2YIU_ACBEDF_,test,4,4,2
2YQZ_A_,test,1,1,0
1GKI_ABEDGF_,test,6,0,0
3UJ7_A_,test,1,1,1
5FHF_A_,test,1,1,1
4GYI_A_,test,1,1,1
3PZC_AB_,test,1,1,0
3DH0_A_,test,1,1,1
4BLV_A_,test,1,1,1
2BRA_A_,test,1,1,1
5O96_AB_,test,2,2,2
5ND2_ACB_,test,1,1,0
4PCL_AC_,test,2,1,0
2PR1_AB_,test,2,1,1
3VIU_A_,test,1,1,0
1SOX_AB_,test,2,1,0
3G2O_AB_,test,2,0,0
1MWM_A_,test,1,1,1
5MBX_A_,test,1,1,1
3DBG_A_,test,1,2,1
1WG8_A_,test,1,1,1
2BFR_A_,test,1,1,1
3RES_ACBEDF_,test,4,1,0
6FJH_AB_,test,2,1,1
1GR0_ACBD_,test,4,0,0
1SG6_A_,test,1,1,1
4ZGP_A_,test,1,1,1
6FSA_AD_,test,1,1,0
2H7Q_A_,test,1,1,0
4UII_AB_,test,2,1,1
1YOA_AB_,test,2,2,2
2OWM_AC_,test,2,0,0
3EWK_A_,test,1,1,1
1RLZ_ACBD_,test,4,2,0
4K38_AD_,test,1,1,0
2UVQ_ACBD_,test,4,1,0
4ZNL_A_,test,1,1,1
2A2C_A_,test,1,1,1
4AG5_AD_,test,1,1,0
2IXB_AB_,test,2,1,1
2A8X_AB_,test,2,1,1
3WFJ_AE_,test,2,2,2
4YLR_A_,test,1,1,0
5U0M_AB_,test,2,0,0
2XOC_A_,test,1,1,0
3QPV_AB_,test,2,1,0
1SK7_A_,test,1,1,1
3NT1_AB_,test,2,0,0
2G72_A_,test,1,1,1
6BDD_A_,test,1,1,1
5XXS_A_,test,1,1,1
3EZ6_AB_,test,2,0,0
3PZB_AB_,test,2,1,1
1H17_AB_,test,2,1,0
2YZL_A_,test,1,1,1
3OXO_AB_,test,0,0,0
3T58_A_,test,1,1,1
5OBV_A_,test,1,1,1
1P0H_A_,test,1,2,1
1MXB_AB_,test,2,1,0
4IEI_A_,test,1,1,1
3C50_AB_,test,2,1,0
2CVX_AB_,test,2,1,1
4XHP_A_,test,2,1,1
1Q4S_ACBD_,test,4,0,0
3B1N_AB_,test,2,1,1
1IQP_ACBEDF_,test,4,0,0
3I9K_AB_,test,1,1,1
5FUK_AB_,test,2,1,1
1IYN_A_,test,1,1,1
3J82_ACBD_,test,3,1,1
2WAT_ACB_,test,3,1,1
1IOV_A_,test,1,1,1
4PZR_A_,test,1,1,1
3VBP_ACE_,test,3,1,1
1ITH_ACBD_,test,4,1,1
1UT0_A_,test,1,1,1
5SZZ_ABEGFH_,test,6,0,0
4XQ9_AB_,test,2,1,1
6B58_AB_,test,1,1,1
4XZJ_A_,test,1,1,1
1VPM_ACBEDF_,test,4,0,0
1SUW_ACBD_,test,4,0,0
4PSX_AYCB_,test,1,1,0
2VF8_AB_,test,4,1,1
4FEG_ACBD_,test,4,1,0
2IGT_ACB_,test,3,1,0
1NJF_A_,test,0,1,0
5U5N_AB_,test,2,1,1
5EOY_AB_,test,2,1,0
2VYW_A_,test,1,1,1
3NBX_X_,test,1,1,0
2OYY_ABIKJL_,test,6,0,0
1BS1_A_,test,1,1,1
3CWQ_AB_,test,2,1,1
4Q47_A_,test,1,1,0
3EGI_ACBD_,test,4,1,0
4RZQ_AB_,test,2,1,0
4H1G_A_,test,1,1,0
3AV6_A_,test,1,2,0
2QSY_A_,test,1,1,0
5O0T_A_,test,2,1,1
3NN4_ACBED_,test,5,3,3
1DLI_AB_,test,2,1,1
4P6V_ACBEDF_,test,1,1,0
5E7P_A_,test,2,1,1
3W0P_A_,test,1,2,1
1NY3_A_,test,1,1,1
5LJV_ACBEDF_,test,6,1,1
3OF4_AB_,test,0,1,0
1JTB_A_,test,1,1,1
2PSW_A_,test,1,1,1
5L22_AB_,test,2,1,0
5D4U_AC_,test,2,2,2
3U8P_A_,test,1,1,1
3BXZ_AB_,test,2,1,1
5LTI_A_,test,1,1,1
4WH2_A_,test,1,1,1
5DCY_AC_,test,2,1,1
5FWN_AB_,test,1,1,0
4O6Y_AB_,test,4,1,1
3B78_AB_,test,1,2,0
5OC0_A_,test,2,1,1
4OTP_A_,test,1,2,1
4GW0_A_,test,1,1,1
4PL9_A_,test,1,1,1
5WY0_A_,test,1,1,1
4GRC_AB_,test,2,2,0
4XHG_A_,test,1,1,1
5ODT_AB_,test,1,1,1
3QVH_AB_,test,2,1,1
